"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","337","Авторизаиця с недействительными учетными данными","tests","Sun Oct 26 10:21:08 UTC 2025","passed","Sun Oct 26 10:21:09 UTC 2025","","test_login","",""
"","664","Авторизаиця с корректными учетными данными","tests","Sun Oct 26 10:21:09 UTC 2025","passed","Sun Oct 26 10:21:09 UTC 2025","","test_login","",""
"","344","Авторизаиця с корректными учетными данными","tests","Sun Oct 26 10:21:09 UTC 2025","passed","Sun Oct 26 10:21:10 UTC 2025","","test_login","",""
